# City graph edges (undirected):  <cityA> <cityB>
# Roughly follows major interstate connections.
Seattle       Portland
Portland      SanFrancisco
SanFrancisco  LosAngeles
SanFrancisco  SaltLakeCity
LosAngeles    LasVegas
LosAngeles    Phoenix
LasVegas      SaltLakeCity
LasVegas      Phoenix
Phoenix       Albuquerque
SaltLakeCity  Denver
Denver        Albuquerque
Denver        KansasCity
Albuquerque   Dallas
Dallas        Houston
Dallas        Memphis
Houston       Atlanta
KansasCity    StLouis
KansasCity    Minneapolis
Minneapolis   Chicago
Chicago       StLouis
Chicago       Detroit
StLouis       Memphis
StLouis       Nashville
Memphis       Atlanta
Memphis       Nashville
Atlanta       Miami
Atlanta       Nashville
Atlanta       Washington
Nashville     Cleveland
Detroit       Cleveland
Cleveland     Pittsburgh
Pittsburgh    Washington
Pittsburgh    Philadelphia
Washington    Philadelphia
Philadelphia  NewYork
NewYork       Boston
